Time,"{__name__=""redis_mem_fragmentation_ratio"", instance=""redis_exporter:9121"", job=""redis-exporter""}"
2026-03-06 0:17,6.71
2026-03-06 0:17,6.7
2026-03-06 0:17,6.69
2026-03-06 0:18,6.56
2026-03-06 0:18,5.68
2026-03-06 0:18,3.92
2026-03-06 0:18,3.16
2026-03-06 0:19,2.62
2026-03-06 0:19,2.21
2026-03-06 0:19,2.06
2026-03-06 0:19,1.87
2026-03-06 0:20,1.7
2026-03-06 0:20,1.62
2026-03-06 0:20,1.54
2026-03-06 0:20,1.47
2026-03-06 0:21,1.42
2026-03-06 0:21,1.36
2026-03-06 0:21,1.33
2026-03-06 0:21,1.31
2026-03-06 0:22,1.29
2026-03-06 0:22,1.26
2026-03-06 0:22,1.25
2026-03-06 0:22,1.24
2026-03-06 0:23,1.23
2026-03-06 0:23,1.21
2026-03-06 0:23,1.21
2026-03-06 0:23,1.21
2026-03-06 0:24,1.21
2026-03-06 0:24,1.22
2026-03-06 0:24,1.22
2026-03-06 0:24,1.22
2026-03-06 0:25,1.22
2026-03-06 0:25,1.23
2026-03-06 0:25,1.24
2026-03-06 0:25,1.24
2026-03-06 0:26,1.24
2026-03-06 0:26,1.25
2026-03-06 0:26,1.27
2026-03-06 0:26,1.25
2026-03-06 0:27,1.26
2026-03-06 0:27,1.24
2026-03-06 0:27,1.26
2026-03-06 0:27,1.25
2026-03-06 0:28,1.25
2026-03-06 0:28,1.27
